iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,marti,touchpad,0,8,55,350,2,1,1782724554576
0,marti,touchpad,0,8,55,350,6,1,1782724555457
0,marti,touchpad,0,8,55,350,3,1,1782724556114
0,marti,touchpad,0,8,55,350,7,1,1782724556807
0,marti,touchpad,0,8,55,350,4,1,1782724557345
0,marti,touchpad,0,8,55,350,0,1,1782724557981
0,marti,touchpad,0,8,55,350,5,1,1782724558500
0,marti,touchpad,0,8,55,350,1,1,1782724559087
1,marti,touchpad,0,8,55,350,4,1,1782724561101
1,marti,touchpad,0,8,55,350,0,1,1782724561755
1,marti,touchpad,0,8,55,350,5,1,1782724562380
1,marti,touchpad,0,8,55,350,1,1,1782724562961
1,marti,touchpad,0,8,55,350,6,1,1782724563555
1,marti,touchpad,0,8,55,350,2,1,1782724564206
1,marti,touchpad,0,8,55,350,7,1,1782724564855
1,marti,touchpad,0,8,55,350,3,1,1782724565375
2,marti,touchpad,0,8,55,350,5,1,1782724567697
2,marti,touchpad,0,8,55,350,1,1,1782724568270
2,marti,touchpad,0,8,55,350,6,1,1782724568831
2,marti,touchpad,0,8,55,350,2,1,1782724569410
2,marti,touchpad,0,8,55,350,7,1,1782724570047
2,marti,touchpad,0,8,55,350,3,1,1782724570593
2,marti,touchpad,0,8,55,350,0,1,1782724571264
2,marti,touchpad,0,8,55,350,4,1,1782724571803
