iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,timestamp
0,01,mouse,0,8,50,450,4,383
0,01,mouse,0,8,50,450,0,803
0,01,mouse,0,8,50,450,5,1347
0,01,mouse,0,8,50,450,1,1721
0,01,mouse,0,8,50,450,6,2211
0,01,mouse,0,8,50,450,2,2623
0,01,mouse,0,8,50,450,7,3209
0,01,mouse,0,8,50,450,3,3716
1,01,mouse,0,8,50,450,7,425
1,01,mouse,0,8,50,450,3,958
1,01,mouse,0,8,50,450,0,1510
1,01,mouse,0,8,50,450,4,2096
1,01,mouse,0,8,50,450,1,2718
1,01,mouse,0,8,50,450,5,3260
1,01,mouse,0,8,50,450,2,3758
1,01,mouse,0,8,50,450,6,4232
