iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,marti,mouse,150,8,40,450,3,1,1782724481240
0,marti,mouse,150,8,40,450,7,1,1782724481993
0,marti,mouse,150,8,40,450,4,1,1782724482893
0,marti,mouse,150,8,40,450,0,1,1782724483739
0,marti,mouse,150,8,40,450,5,1,1782724484626
0,marti,mouse,150,8,40,450,1,1,1782724485616
0,marti,mouse,150,8,40,450,6,1,1782724486507
0,marti,mouse,150,8,40,450,2,1,1782724487411
1,marti,mouse,150,8,40,450,3,1,1782724489062
1,marti,mouse,150,8,40,450,7,1,1782724489884
1,marti,mouse,150,8,40,450,4,1,1782724490725
1,marti,mouse,150,8,40,450,0,1,1782724491582
1,marti,mouse,150,8,40,450,5,1,1782724492387
1,marti,mouse,150,8,40,450,1,1,1782724493250
1,marti,mouse,150,8,40,450,6,1,1782724494123
1,marti,mouse,150,8,40,450,2,1,1782724494894
2,marti,mouse,150,8,40,450,6,1,1782724496317
2,marti,mouse,150,8,40,450,2,1,1782724497069
2,marti,mouse,150,8,40,450,7,1,1782724497952
2,marti,mouse,150,8,40,450,3,1,1782724498725
2,marti,mouse,150,8,40,450,0,1,1782724499458
2,marti,mouse,150,8,40,450,4,1,1782724500210
2,marti,mouse,150,8,40,450,1,1,1782724500849
2,marti,mouse,150,8,40,450,5,1,1782724501689
