iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,marti,mouse,0,8,55,550,5,1,1782724260767
0,marti,mouse,0,8,55,550,1,1,1782724261353
0,marti,mouse,0,8,55,550,6,0,1782724261813
0,marti,mouse,0,8,55,550,6,1,1782724262167
0,marti,mouse,0,8,55,550,2,1,1782724262721
0,marti,mouse,0,8,55,550,7,1,1782724263222
0,marti,mouse,0,8,55,550,3,1,1782724263750
0,marti,mouse,0,8,55,550,0,1,1782724264302
0,marti,mouse,0,8,55,550,4,1,1782724264774
1,marti,mouse,0,8,55,550,3,1,1782724266262
1,marti,mouse,0,8,55,550,7,1,1782724266997
1,marti,mouse,0,8,55,550,4,1,1782724267613
1,marti,mouse,0,8,55,550,0,1,1782724268152
1,marti,mouse,0,8,55,550,5,1,1782724268608
1,marti,mouse,0,8,55,550,1,1,1782724269169
1,marti,mouse,0,8,55,550,6,1,1782724269692
1,marti,mouse,0,8,55,550,2,1,1782724270221
2,marti,mouse,0,8,55,550,4,1,1782724271770
2,marti,mouse,0,8,55,550,0,1,1782724272275
2,marti,mouse,0,8,55,550,5,1,1782724272746
2,marti,mouse,0,8,55,550,1,1,1782724273400
2,marti,mouse,0,8,55,550,6,1,1782724273928
2,marti,mouse,0,8,55,550,2,1,1782724274426
2,marti,mouse,0,8,55,550,7,1,1782724275026
2,marti,mouse,0,8,55,550,3,1,1782724275546
