iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,pat,mouse,0,8,40,450,2,1,1782851277926
0,pat,mouse,0,8,40,450,6,1,1782851278682
0,pat,mouse,0,8,40,450,3,1,1782851279194
0,pat,mouse,0,8,40,450,7,1,1782851279738
0,pat,mouse,0,8,40,450,4,1,1782851280290
0,pat,mouse,0,8,40,450,0,1,1782851280967
0,pat,mouse,0,8,40,450,5,1,1782851281577
0,pat,mouse,0,8,40,450,1,1,1782851282139
1,pat,mouse,0,8,40,450,5,1,1782851283881
1,pat,mouse,0,8,40,450,1,1,1782851284596
1,pat,mouse,0,8,40,450,6,1,1782851285221
1,pat,mouse,0,8,40,450,2,1,1782851285911
1,pat,mouse,0,8,40,450,7,1,1782851286465
1,pat,mouse,0,8,40,450,3,1,1782851287053
1,pat,mouse,0,8,40,450,0,1,1782851287609
1,pat,mouse,0,8,40,450,4,1,1782851288134
2,pat,mouse,0,8,40,450,3,1,1782851289859
2,pat,mouse,0,8,40,450,7,1,1782851290420
2,pat,mouse,0,8,40,450,4,1,1782851290980
2,pat,mouse,0,8,40,450,0,1,1782851291588
2,pat,mouse,0,8,40,450,5,1,1782851292188
2,pat,mouse,0,8,40,450,1,1,1782851292760
2,pat,mouse,0,8,40,450,6,1,1782851293352
2,pat,mouse,0,8,40,450,2,1,1782851293927
