iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,pat,pose,0,8,40,350,2,1,1782852331946
0,pat,pose,0,8,40,350,6,1,1782852333765
0,pat,pose,0,8,40,350,3,1,1782852334897
0,pat,pose,0,8,40,350,7,1,1782852336454
0,pat,pose,0,8,40,350,4,1,1782852337410
0,pat,pose,0,8,40,350,0,1,1782852338682
0,pat,pose,0,8,40,350,5,1,1782852340121
0,pat,pose,0,8,40,350,1,1,1782852341222
1,pat,pose,0,8,40,350,6,1,1782852342826
1,pat,pose,0,8,40,350,2,1,1782852343970
1,pat,pose,0,8,40,350,7,1,1782852345217
1,pat,pose,0,8,40,350,3,1,1782852346369
1,pat,pose,0,8,40,350,0,1,1782852347588
1,pat,pose,0,8,40,350,4,1,1782852348938
1,pat,pose,0,8,40,350,1,1,1782852350188
1,pat,pose,0,8,40,350,5,1,1782852351641
2,pat,pose,0,8,40,350,4,1,1782852356192
2,pat,pose,0,8,40,350,0,1,1782852357209
2,pat,pose,0,8,40,350,5,1,1782852358659
2,pat,pose,0,8,40,350,1,1,1782852359663
2,pat,pose,0,8,40,350,6,1,1782852361114
2,pat,pose,0,8,40,350,2,1,1782852362000
2,pat,pose,0,8,40,350,7,1,1782852363131
2,pat,pose,0,8,40,350,3,1,1782852364121
