iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,hector,mouse,150,8,40,450,2,1,1782833943911
0,hector,mouse,150,8,40,450,6,1,1782833944607
0,hector,mouse,150,8,40,450,3,1,1782833945785
0,hector,mouse,150,8,40,450,7,1,1782833946641
0,hector,mouse,150,8,40,450,4,1,1782833947235
0,hector,mouse,150,8,40,450,0,1,1782833947815
0,hector,mouse,150,8,40,450,5,1,1782833948539
0,hector,mouse,150,8,40,450,1,1,1782833949309
1,hector,mouse,150,8,40,450,0,1,1782833951156
1,hector,mouse,150,8,40,450,4,1,1782833952071
1,hector,mouse,150,8,40,450,1,1,1782833952807
1,hector,mouse,150,8,40,450,5,1,1782833953764
1,hector,mouse,150,8,40,450,2,1,1782833954494
1,hector,mouse,150,8,40,450,6,1,1782833955230
1,hector,mouse,150,8,40,450,3,1,1782833956033
1,hector,mouse,150,8,40,450,7,1,1782833956771
2,hector,mouse,150,8,40,450,4,1,1782833958604
2,hector,mouse,150,8,40,450,0,1,1782833959287
2,hector,mouse,150,8,40,450,5,1,1782833960027
2,hector,mouse,150,8,40,450,1,1,1782833961053
2,hector,mouse,150,8,40,450,6,1,1782833961822
2,hector,mouse,150,8,40,450,2,1,1782833962642
2,hector,mouse,150,8,40,450,7,1,1782833963503
2,hector,mouse,150,8,40,450,3,1,1782833964257
