iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,martina,touchpad,0,8,40,350,7,1,1782829862343
0,martina,touchpad,0,8,40,350,3,1,1782829862896
0,martina,touchpad,0,8,40,350,0,1,1782829863399
0,martina,touchpad,0,8,40,350,4,1,1782829863973
0,martina,touchpad,0,8,40,350,1,1,1782829864458
0,martina,touchpad,0,8,40,350,5,1,1782829865075
0,martina,touchpad,0,8,40,350,2,1,1782829865587
0,martina,touchpad,0,8,40,350,6,1,1782829866150
1,martina,touchpad,0,8,40,350,0,1,1782829867335
1,martina,touchpad,0,8,40,350,4,1,1782829867917
1,martina,touchpad,0,8,40,350,1,1,1782829868423
1,martina,touchpad,0,8,40,350,5,1,1782829868928
1,martina,touchpad,0,8,40,350,2,1,1782829869558
1,martina,touchpad,0,8,40,350,6,1,1782829870079
1,martina,touchpad,0,8,40,350,3,1,1782829870714
1,martina,touchpad,0,8,40,350,7,1,1782829871236
2,martina,touchpad,0,8,40,350,7,1,1782829872226
2,martina,touchpad,0,8,40,350,3,1,1782829872971
2,martina,touchpad,0,8,40,350,0,1,1782829873615
2,martina,touchpad,0,8,40,350,4,1,1782829874155
2,martina,touchpad,0,8,40,350,1,1,1782829874734
2,martina,touchpad,0,8,40,350,5,0,1782829875228
2,martina,touchpad,0,8,40,350,5,1,1782829875565
2,martina,touchpad,0,8,40,350,2,1,1782829876288
2,martina,touchpad,0,8,40,350,6,1,1782829876900
