iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,hector,mouse,150,8,55,550,6,1,1782833992455
0,hector,mouse,150,8,55,550,2,1,1782833994301
0,hector,mouse,150,8,55,550,7,1,1782833995039
0,hector,mouse,150,8,55,550,3,1,1782833995730
0,hector,mouse,150,8,55,550,0,1,1782833996503
0,hector,mouse,150,8,55,550,4,1,1782833997262
0,hector,mouse,150,8,55,550,1,1,1782833998116
0,hector,mouse,150,8,55,550,5,1,1782833999143
1,hector,mouse,150,8,55,550,1,1,1782834000971
1,hector,mouse,150,8,55,550,5,1,1782834001863
1,hector,mouse,150,8,55,550,2,1,1782834003324
1,hector,mouse,150,8,55,550,6,1,1782834004210
1,hector,mouse,150,8,55,550,3,1,1782834004962
1,hector,mouse,150,8,55,550,7,1,1782834005670
1,hector,mouse,150,8,55,550,4,1,1782834006338
1,hector,mouse,150,8,55,550,0,1,1782834007010
2,hector,mouse,150,8,55,550,3,1,1782834008768
2,hector,mouse,150,8,55,550,7,1,1782834009494
2,hector,mouse,150,8,55,550,4,1,1782834010092
2,hector,mouse,150,8,55,550,0,1,1782834010699
2,hector,mouse,150,8,55,550,5,1,1782834011542
2,hector,mouse,150,8,55,550,1,1,1782834012207
2,hector,mouse,150,8,55,550,6,1,1782834013134
2,hector,mouse,150,8,55,550,2,1,1782834013867
