iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,martina,mouse,0,8,55,350,3,1,1782829477810
0,martina,mouse,0,8,55,350,7,1,1782829478185
0,martina,mouse,0,8,55,350,4,1,1782829478600
0,martina,mouse,0,8,55,350,0,1,1782829478985
0,martina,mouse,0,8,55,350,5,1,1782829479389
0,martina,mouse,0,8,55,350,1,1,1782829479744
0,martina,mouse,0,8,55,350,6,1,1782829480199
0,martina,mouse,0,8,55,350,2,1,1782829480583
1,martina,mouse,0,8,55,350,2,1,1782829481748
1,martina,mouse,0,8,55,350,6,1,1782829482096
1,martina,mouse,0,8,55,350,3,1,1782829482474
1,martina,mouse,0,8,55,350,7,1,1782829482841
1,martina,mouse,0,8,55,350,4,1,1782829483225
1,martina,mouse,0,8,55,350,0,1,1782829483661
1,martina,mouse,0,8,55,350,5,1,1782829484066
1,martina,mouse,0,8,55,350,1,1,1782829484416
2,martina,mouse,0,8,55,350,6,1,1782829485448
2,martina,mouse,0,8,55,350,2,1,1782829485882
2,martina,mouse,0,8,55,350,7,1,1782829486236
2,martina,mouse,0,8,55,350,3,1,1782829486622
2,martina,mouse,0,8,55,350,0,1,1782829486972
2,martina,mouse,0,8,55,350,4,1,1782829487374
2,martina,mouse,0,8,55,350,1,1,1782829487746
2,martina,mouse,0,8,55,350,5,1,1782829488083
