iteration,part_id,input_method,delay,width,distance,errors,start_time,end_time
1,marti,mouse,0,60,600,0,1782725512943,1782725514001
2,marti,mouse,0,60,600,0,1782725516064,1782725516969
3,marti,mouse,0,60,600,0,1782725518898,1782725519985
