iteration,part_id,input_method,delay,width,distance,errors,start_time,end_time
1,pat,mouse,150,100,400,0,1782852971215,1782852971996
2,pat,mouse,150,100,400,0,1782852973661,1782852974627
3,pat,mouse,150,100,400,1,1782852976192,1782852980108
