iteration,part_id,input_method,delay,width,distance,errors,start_time,end_time
1,martina,mouse,0,60,800,0,1782830688404,1782830689429
2,martina,mouse,0,60,800,0,1782830691564,1782830692652
3,martina,mouse,0,60,800,0,1782830694328,1782830695674
