iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,pat,mouse,150,8,25,550,7,1,1782851554313
0,pat,mouse,150,8,25,550,3,1,1782851555374
0,pat,mouse,150,8,25,550,0,1,1782851556376
0,pat,mouse,150,8,25,550,4,1,1782851557491
0,pat,mouse,150,8,25,550,1,1,1782851558314
0,pat,mouse,150,8,25,550,5,1,1782851559262
0,pat,mouse,150,8,25,550,2,1,1782851560030
0,pat,mouse,150,8,25,550,6,1,1782851561063
1,pat,mouse,150,8,25,550,2,1,1782851562591
1,pat,mouse,150,8,25,550,6,1,1782851563415
1,pat,mouse,150,8,25,550,3,1,1782851564383
1,pat,mouse,150,8,25,550,7,1,1782851565498
1,pat,mouse,150,8,25,550,4,1,1782851566463
1,pat,mouse,150,8,25,550,0,1,1782851567488
1,pat,mouse,150,8,25,550,5,1,1782851568407
1,pat,mouse,150,8,25,550,1,1,1782851569553
2,pat,mouse,150,8,25,550,7,1,1782851571027
2,pat,mouse,150,8,25,550,3,1,1782851571871
2,pat,mouse,150,8,25,550,0,1,1782851572659
2,pat,mouse,150,8,25,550,4,1,1782851573566
2,pat,mouse,150,8,25,550,1,1,1782851574517
2,pat,mouse,150,8,25,550,5,1,1782851575501
2,pat,mouse,150,8,25,550,2,1,1782851576337
2,pat,mouse,150,8,25,550,6,1,1782851577440
