iteration,part_id,input_method,delay,width,distance,errors,start_time,end_time
1,pat,pose,0,100,400,0,1782853322562,1782853323457
2,pat,pose,0,100,400,1,1782853325251,1782853329068
3,pat,pose,0,100,400,0,1782853334372,1782853335513
