iteration,part_id,input_method,delay,width,distance,errors,start_time,end_time
1,hector,mouse,0,100,400,0,1782843271943,1782843272404
2,hector,mouse,0,100,400,0,1782843274286,1782843274689
3,hector,mouse,0,100,400,0,1782843276454,1782843276960
