iteration,part_id,input_method,delay,width,distance,errors,start_time,end_time
1,hector,pose,0,100,400,0,1782843563568,1782843564201
2,hector,pose,0,100,400,0,1782843565839,1782843566364
3,hector,pose,0,100,400,0,1782843568075,1782843568572
