iteration,part_id,input_method,delay,width,distance,errors,start_time,end_time
1,martina,pose,0,100,600,0,1782830936855,1782830938520
2,martina,pose,0,100,600,0,1782830941723,1782830943710
3,martina,pose,0,100,600,0,1782830946779,1782830948000
